score,pubdate,source,title,link
25,2025-07-12-17-01-00 +0000,wsj,"The U.S. will charge a 30% tariff on the European Union and Mexico effective Aug. 1, President Trump said in letters to the leaders of each trading partner, posted on Truth Social",https://www.wsj.com/economy/trade/trump-threatens-30-tariffs-on-eu-mexico-c48ce36f
24,2025-07-13-01-00-00 +0000,wsj,"Economists expect stronger growth and job creation, lower risk of recession and cooler inflation than they did three months ago, according to a Wall Street Journal survey",https://www.wsj.com/economy/economists-see-lower-recession-risk-and-stronger-job-growth-wsj-survey-10d6e476
15,2025-07-12-09-30-00 +0000,wsj,Pittsburgh is striving to turn its old steel mills into a high-tech center to help reverse economic decline,https://www.wsj.com/tech/ai/can-pittsburghs-old-steel-mills-be-turned-into-an-ai-hub-bb2dd8ff
13,2025-07-12-14-00-00 +0000,wsj,The White House has an explanation for the nearly $2 trillion of manufacturing-related projects announced since the start of the year. It’s the Trump Effect.,https://www.wsj.com/politics/policy/trump-new-us-factories-d2981280
10,2025-07-12-14-48-39 +0000,wapo,El Chapo’s son Ovidio Guzmán López pleads guilty to U.S. drug charges,https://www.washingtonpost.com/nation/2025/07/12/ovidio-guzmn-lpez-el-chapo-son-plea-deal/
10,2025-07-13-01-04-00 +0000,wsj,Answers to frequently asked questions about The Wall Street Journal's Economic Forecasting survey plus links to stories and archival data.,https://www.wsj.com/economy/economic-forecasting-survey-archive-11617814998
10,2025-07-12-10-00-58 +0000,wapo,"In the dark, amid screams, a Camp Mystic counselor had 16 girls and one headlamp",https://www.washingtonpost.com/investigations/2025/07/12/texas-flooding-survival-camp-mystic-counselor/
8,2025-07-12-19-43-22 +0000,wapo,"Palestinian American from Florida killed in the West Bank, family says",https://www.washingtonpost.com/nation/2025/07/11/palestinian-american-west-bank-death-tampa/
8,2025-07-12-13-21-08 +0000,wapo,"Man dies after flash fire in hyperbaric chamber in Arizona, authorities say",https://www.washingtonpost.com/nation/2025/07/12/walter-foxcroft-hyperbaric-chamber-fire-arizona/
7,2025-07-13-07-57-04 +0000,wapo,Wildfires that forced Grand Canyon evacuations spread unabated,https://www.washingtonpost.com/weather/2025/07/13/white-sage-wildfire-arizona-dragon-bravo/
