score,pubdate,source,title,link
154,2026-07-14-21-45-00 +0000,wsj,"Trump’s Iran blockade resumes, Kevin Warsh says the Fed has ’no tolerance’ for high inflation, and the most expensive dinosaur sold for $50.1 million. Read more in today’s What’s News newsletter:",https://www.wsj.com/politics/policy/u-s-reimposes-iranian-blockade-as-trump-scraps-hormuz-toll-5430ff94
79,2026-07-14-22-13-00 +0000,wsj,"The House passed legislation supported by President Trump to make daylight-saving time permanent year-round, advancing a longstanding effort to end the twice-a-year time switch nationwide",https://www.wsj.com/politics/policy/house-passes-bill-to-make-daylight-saving-time-permanent-32bd00fc
78,2026-07-14-21-19-00 +0000,wsj,A new bill that had been championed by the late Sen. Lindsey Graham would give Trump fresh authority to impose tariffs on the largest importers of Russian energy,https://www.wsj.com/politics/policy/lindsey-grahams-tariffs-bill-would-target-china-india-as-russian-oil-buyers-f871211c
66,2026-07-14-21-01-48 +0000,latimes,Oil tanker captain didn't know he was hauling cocaine for cartels. Here's how he found out,https://www.latimes.com/california/story/2026-07-14/oil-tanker-cartel-cocaine-shipment
63,2026-07-14-16-39-12 +0000,latimes,ICE will suspend most vehicle stops in the wake of two deadly shootings,https://www.latimes.com/world-nation/story/2026-07-14/hundreds-protest-in-maine-over-fatal-shooting-of-colombian-man-by-ice
49,2026-07-14-23-55-00 +0000,wsj,Oil Rises Amid Iran’s Attacks on Shipping in Strait of Hormuz,https://www.wsj.com/finance/commodities-futures/oil-rises-amid-irans-attacks-on-shipping-in-strait-of-hormuz-e334b6d7?mod=rss_markets_main
42,2026-07-15-03-00-57 +0000,nyt,Takeaways From Justices Kagan and Barrett’s Congressional Testimony on Supreme Court Security,https://www.nytimes.com/2026/07/14/us/politics/supreme-court-congress-takeaways.html
40,2026-07-14-10-00-00 +0000,latimes,"Economists, tech leaders warn AI could bring 'large-scale job displacement' and other risks",https://www.latimes.com/business/story/2026-07-14/economists-tech-leaders-warn-ai-could-bring-large-scale-job-displacement-other-risks
39,2026-07-15-02-08-26 +0000,nypost,Another TV shake-up rocks NBC Sports Bay Area as top host suddenly leaves,https://nypost.com/2026/07/14/us-news/popular-bay-area-nbc-sports-host-announces-surprise-exit-from-station/
37,2026-07-14-10-17-11 +0000,bbc,California leads lawsuit to block Paramount Warner Bros mega merger,https://www.bbc.co.uk/news/articles/cgev34lvgp4o?at_medium=RSS&at_campaign=rss
